Topic,ID,Start Time,File Size (MB),File Count,Total Views,Total Downloads,Last Accessed,Auto Delete Status,Auto Delete Date
Tuhfa Reading,893 556 039,"Jun 27, 2024 10:00:26 AM",129.3636,3,0,1,"Jul 16, 2024 11:54:48 AM",false,
Tuhfa Reading,893 556 039,"Jun 20, 2024 10:02:59 AM",148.0509,4,0,1,"Jul 16, 2024 11:54:44 AM",false,
Tuhfa Reading,893 556 039,"Jun 6, 2024 09:57:41 AM",148.7989,3,0,5,"Jul 16, 2024 11:54:40 AM",false,
Tuhfa Reading,893 556 039,"May 30, 2024 09:56:59 AM",135.7705,2,0,1,"Jun 7, 2024 08:32:58 AM",false,
Tuhfa Reading,893 556 039,"May 23, 2024 09:57:23 AM",117.7084,2,1,1,"Jun 7, 2024 08:32:56 AM",false,
Tuhfa Reading,893 556 039,"May 16, 2024 09:57:57 AM",124.0523,2,0,1,"Jun 7, 2024 08:32:52 AM",false,
Tuhfa Reading,893 556 039,"May 9, 2024 10:02:34 AM",106.4340,2,0,1,"May 9, 2024 03:12:13 PM",false,
Tuhfa Reading,893 556 039,"May 2, 2024 09:58:01 AM",158.4151,2,1,1,"May 9, 2024 03:12:09 PM",false,
Tuhfa Reading,893 556 039,"Apr 25, 2024 09:58:24 AM",126.0883,2,0,1,"May 9, 2024 03:12:05 PM",false,
Tuhfa Reading,893 556 039,"Mar 28, 2024 05:59:52 AM",151.0716,2,0,1,"Apr 23, 2024 08:29:17 AM",false,
Tuhfa Reading,893 556 039,"Mar 21, 2024 06:00:57 AM",115.7793,2,0,1,"Apr 23, 2024 08:29:13 AM",false,
Tuhfa Reading,893 556 039,"Mar 14, 2024 06:03:02 AM",127.1559,2,0,2,"Apr 23, 2024 08:29:10 AM",false,
Tuhfa Reading,893 556 039,"Mar 7, 2024 08:59:20 AM",117.9052,2,0,1,"Apr 23, 2024 08:29:07 AM",false,
Tuhfa Reading,893 556 039,"Feb 29, 2024 08:59:31 AM",126.8561,2,0,2,"Apr 23, 2024 08:29:03 AM",false,
Tuhfa Reading,893 556 039,"Feb 22, 2024 08:59:18 AM",179.8231,2,0,1,"Apr 23, 2024 08:28:59 AM",false,
Tuhfa Reading,893 556 039,"Feb 8, 2024 09:01:37 AM",155.3360,2,0,1,"Apr 23, 2024 08:28:55 AM",false,
Tuhfa Reading,893 556 039,"Feb 1, 2024 09:00:00 AM",125.0172,2,0,3,"Feb 9, 2024 05:33:05 PM",false,
Tuhfa Reading,893 556 039,"Jan 25, 2024 09:02:05 AM",128.2717,2,3,3,"Feb 6, 2024 09:44:06 AM",false,
Tuhfa Reading,893 556 039,"Jan 18, 2024 08:56:20 AM",0.2364,2,0,1,"Feb 6, 2024 09:44:10 AM",false,
Tuhfa Reading,893 556 039,"Jan 11, 2024 08:59:12 AM",116.4046,2,0,2,"Jan 19, 2024 06:00:07 PM",false,
Tuhfa Reading,893 556 039,"Jan 4, 2024 09:07:39 AM",180.2772,2,0,2,"Jan 17, 2024 10:48:45 AM",false,
Tuhfa Reading,893 556 039,"Dec 28, 2023 09:02:34 AM",127.6080,2,0,4,"Jan 16, 2024 06:28:42 PM",false,
Tuhfa Reading,893 556 039,"Dec 21, 2023 08:59:32 AM",97.2973,2,1,2,"Jan 11, 2024 07:49:27 AM",false,
Tuhfa Reading,893 556 039,"Dec 14, 2023 08:59:42 AM",176.6306,3,0,3,"Dec 28, 2023 07:22:04 AM",false,
Tuhfa Reading,893 556 039,"Dec 7, 2023 08:59:27 AM",178.2501,3,0,2,"Dec 8, 2023 12:56:39 PM",false,
Tuhfa Reading,893 556 039,"Nov 23, 2023 03:00:42 AM",133.6363,3,0,3,"Dec 19, 2023 05:29:24 AM",false,
Tuhfa Reading,893 556 039,"Nov 9, 2023 03:03:51 AM",174.4250,3,1,2,"Dec 7, 2023 01:18:37 PM",false,
Tuhfa Reading,893 556 039,"Nov 2, 2023 04:01:31 AM",151.1170,2,0,1,"Dec 7, 2023 01:17:07 PM",false,
Tuhfa Reading,893 556 039,"Oct 26, 2023 03:58:35 AM",155.9970,3,0,2,"Oct 30, 2023 11:32:08 AM",false,
Tuhfa Reading,893 556 039,"Oct 19, 2023 04:00:24 AM",156.9940,2,0,1,"Oct 30, 2023 11:32:03 AM",false,
Tuhfa Reading,893 556 039,"Oct 12, 2023 05:01:34 AM",142.3174,2,0,2,"Oct 13, 2023 02:57:21 PM",false,
Tuhfa Reading,893 556 039,"Oct 4, 2023 08:00:07 PM",170.4874,2,0,2,"Oct 12, 2023 05:09:38 AM",false,
Tuhfa Reading,893 556 039,"Sep 27, 2023 08:01:09 PM",138.9766,3,0,2,"Oct 12, 2023 05:09:34 AM",false,
